replicate,seed,generation,extended_extinction,total,sensitive,resistant,effective_genotypes,resistant_percent
7,100049,3,False,292,292,0,1.6712252250019444,0.0
7,100049,4,False,421,421,0,1.8278499369424963,0.0
7,100049,5,False,571,569,2,2.0114245526750345,0.3502626970227671
7,100049,6,False,812,810,2,2.1052283350090075,0.24630541871921183
7,100049,7,False,1133,1130,3,2.344010820989344,0.264783759929391
7,100049,8,False,1649,1642,7,2.667340165955304,0.42449969678593086
7,100049,9,False,2357,2349,8,2.8673117980015266,0.3394145099703012
7,100049,10,False,3353,3339,14,3.2322738167491134,0.4175365344467641
7,100049,11,False,4799,4775,24,3.6548693284043043,0.5001041883725776
7,100049,12,False,6831,6788,43,4.114898940690009,0.6294832381788904
7,100049,13,False,9758,9678,80,4.649391733102472,0.819840131174421
7,100049,14,False,13968,13839,129,5.2693229049874715,0.9235395189003437
7,100049,15,False,20149,19955,194,6.003275078193069,0.9628269393021986
7,100049,16,False,3079,2790,289,7.418467281222504,9.386164339071128
7,100049,17,False,812,394,418,9.50458148773131,51.477832512315274
7,100049,18,False,684,68,616,6.411458977941317,90.05847953216374
7,100049,19,False,879,7,872,5.707225994445188,99.20364050056882
7,100049,20,False,1244,0,1244,5.911912448038972,100.0
7,100049,21,False,1724,0,1724,6.463000164054581,100.0
7,100049,22,False,2397,0,2397,7.342542731447238,100.0
7,100049,23,False,3368,0,3368,8.1375412981903,100.0
7,100049,24,False,4778,0,4778,9.124705728951728,100.0
7,100049,25,False,6883,0,6883,10.012191189210997,100.0
7,100049,26,False,9845,0,9845,11.87986824581192,100.0
7,100049,27,False,14172,0,14172,13.375173989317998,100.0
7,100049,28,False,20644,0,20644,14.979476444807892,100.0
7,100049,29,False,29948,0,29948,16.901944886285737,100.0
7,100049,30,False,43614,0,43614,18.67573984294476,100.0
7,100049,31,False,64154,0,64154,20.745276501086682,100.0
7,100049,32,False,95277,0,95277,22.716605291674668,100.0
7,100049,33,False,143095,0,143095,24.656561761201303,100.0
7,100049,34,False,215316,0,215316,26.711089822324112,100.0
7,100049,35,False,327040,0,327040,28.73002250848043,100.0
7,100049,36,False,499784,0,499784,30.71344963411576,100.0
7,100049,37,False,767754,0,767754,32.69657383945527,100.0
7,100049,38,False,1185636,0,1185636,34.49236943050612,100.0
8,100050,0,False,100,100,0,1.0,0.0
8,100050,1,False,123,123,0,1.3741742447919412,0.0
8,100050,2,False,181,181,0,1.768699018692792,0.0
8,100050,3,False,262,262,0,1.930771427686223,0.0
8,100050,4,False,352,351,1,2.050251282411106,0.2840909090909091
8,100050,5,False,460,460,0,2.481690455120628,0.0
8,100050,6,False,634,634,0,2.8942647160539883,0.0
8,100050,7,False,895,894,1,3.47752085376202,0.11173184357541899
8,100050,8,False,1254,1250,4,4.156001556477488,0.3189792663476874
8,100050,9,False,1814,1804,10,4.8330106258990115,0.5512679162072768
8,100050,10,False,2574,2558,16,5.491119951903938,0.6216006216006216
8,100050,11,False,3761,3730,31,6.238665005208038,0.8242488699813879
8,100050,12,False,5448,5398,50,7.141982692334525,0.9177679882525698
8,100050,13,False,8002,7921,81,7.923573209980874,1.0122469382654335
8,100050,14,False,11871,11727,144,9.199203492480178,1.2130401819560273
8,100050,15,False,17386,17165,221,10.498211310028301,1.2711376969975843
8,100050,16,False,25819,25491,328,12.09299861300386,1.2703822766179944
8,100050,17,False,4280,3806,474,15.567733422305867,11.074766355140186
8,100050,18,False,1256,605,651,17.898591639605318,51.8312101910828
8,100050,19,False,985,95,890,11.252475506132026,90.35532994923858
8,100050,20,False,1266,23,1243,9.668391177160903,98.18325434439178
8,100050,21,False,1751,7,1744,9.813074477574665,99.60022844089092
8,100050,22,False,2430,0,2430,11.195617741426704,100.0
8,100050,23,False,3492,0,3492,12.836729054585255,100.0
8,100050,24,False,5074,0,5074,15.208890989044866,100.0
8,100050,25,False,7347,0,7347,17.20678067603894,100.0
8,100050,26,False,10648,0,10648,19.218949883692684,100.0
8,100050,27,False,15490,0,15490,21.503625313869875,100.0
8,100050,28,False,22950,0,22950,24.203189254553767,100.0
8,100050,29,False,34141,0,34141,26.735682499082678,100.0
8,100050,30,False,51390,0,51390,29.54768725183006,100.0
8,100050,31,False,78270,0,78270,31.965592306801163,100.0
8,100050,32,False,119361,0,119361,34.78010923797123,100.0
8,100050,33,False,183821,0,183821,37.74151732633665,100.0
8,100050,34,False,283425,0,283425,40.45852382820814,100.0
8,100050,35,False,440169,0,440169,43.278671682221756,100.0
8,100050,36,False,687633,0,687633,46.2066938499902,100.0
8,100050,37,False,1079880,0,1079880,49.03958836785603,100.0
9,100051,0,False,100,100,0,1.0,0.0
9,100051,1,False,154,154,0,1.1245826434208193,0.0
9,100051,2,False,215,215,0,1.413725651903016,0.0
9,100051,3,False,313,313,0,1.4446088508065698,0.0
9,100051,4,False,447,447,0,1.582342825704485,0.0
9,100051,5,False,609,607,2,1.7525200818198974,0.3284072249589491
9,100051,6,False,901,898,3,1.8733472353925653,0.33296337402885684
9,100051,7,False,1360,1352,8,2.2374059972341964,0.5882352941176471
9,100051,8,False,1925,1910,15,2.6086218607698908,0.7792207792207793
9,100051,9,False,2824,2797,27,2.826998401872706,0.9560906515580736
9,100051,10,False,4181,4147,34,3.1489230006192948,0.8132025831140876
9,100051,11,False,6032,5981,51,3.7312993310835734,0.8454907161803713
9,100051,12,False,8722,8641,81,4.306650944040608,0.9286860811740426
9,100051,13,False,12620,12487,133,5.018305949953043,1.0538827258320127
9,100051,14,False,18372,18157,215,5.98942871732509,1.1702590899194427
9,100051,15,False,26859,26504,355,7.01993318276013,1.3217171153058564
9,100051,16,False,4352,3833,519,9.878512758186,11.925551470588236
9,100051,17,False,1335,592,743,11.983688605534008,55.655430711610485
9,100051,18,False,1166,78,1088,7.4621119391593345,93.31046312178388
9,100051,19,False,1593,9,1584,6.518387992546188,99.43502824858757
9,100051,20,False,2253,2,2251,6.955804643132598,99.91122947181536
9,100051,21,False,3267,0,3267,7.893747685305469,100.0
9,100051,22,False,4808,0,4808,9.04822295679182,100.0
9,100051,23,False,7258,0,7258,9.845376443869252,100.0
9,100051,24,False,10831,0,10831,10.635518604884316,100.0
9,100051,25,False,16409,0,16409,11.5191813937702,100.0
9,100051,26,False,25013,0,25013,12.325150640839022,100.0
9,100051,27,False,38573,0,38573,13.290717982971616,100.0
9,100051,28,False,59387,0,59387,14.21192675517072,100.0
9,100051,29,False,91908,0,91908,15.351935503518916,100.0
9,100051,30,False,143147,0,143147,16.354572594830454,100.0
9,100051,31,False,223510,0,223510,17.28082328150136,100.0
9,100051,32,False,351358,0,351358,18.33500272179521,100.0
9,100051,33,False,554103,0,554103,19.369447926707725,100.0
9,100051,34,False,875469,0,875469,20.459730633167183,100.0
9,100051,35,False,1390665,0,1390665,21.57959039285407,100.0
10,100052,0,False,100,100,0,1.0,0.0
10,100052,1,False,133,133,0,1.0,0.0
10,100052,2,False,185,185,0,1.1436886875118004,0.0
10,100052,3,False,262,261,1,1.257087488952628,0.3816793893129771
10,100052,4,False,362,360,2,1.4346194199771933,0.5524861878453039
10,100052,5,False,522,519,3,1.7126902058894014,0.5747126436781609
10,100052,6,False,751,746,5,1.9539017030274004,0.6657789613848203
10,100052,7,False,1094,1083,11,2.326771244516985,1.0054844606946984
10,100052,8,False,1553,1536,17,2.4447192555281427,1.0946555054732776
10,100052,9,False,2169,2136,33,2.781377673578383,1.5214384508990317
10,100052,10,False,3128,3084,44,3.1454102653431564,1.4066496163682864
10,100052,11,False,4415,4355,60,3.343795418118099,1.3590033975084939
10,100052,12,False,6407,6326,81,3.8733548151501958,1.2642422350554081
10,100052,13,False,9119,9007,112,4.465870062806646,1.2282048470226998
10,100052,14,False,13311,13138,173,5.133754467937012,1.2996769589061679
10,100052,15,False,19476,19200,276,5.836717118620982,1.4171287738755391
10,100052,16,False,28572,28137,435,6.615925079333206,1.5224695506089878
10,100052,17,False,4848,4230,618,9.09166495104469,12.747524752475247
10,100052,18,False,1450,613,837,9.723607384350958,57.724137931034484
10,100052,19,False,1259,103,1156,5.862790009869035,91.81890389197775
10,100052,20,False,1600,4,1596,5.038676471642948,99.75
