il11_percent,benefit_percentage_points
81.2,5.85576923076923
81.30000000000001,5.855942376950781
81.4,5.856115107913669
81.5,5.8562874251496995
81.60000000000001,5.85645933014354
81.7,5.856630824372759
81.80000000000001,5.856801909307875
81.9,5.856972586412396
82.0,5.857142857142857
82.10000000000001,5.85731272294887
82.2,5.857482185273159
82.30000000000001,5.857651245551601
82.4,5.85781990521327
82.5,5.857988165680473
82.60000000000001,5.858156028368794
82.7,5.858323494687131
82.80000000000001,5.8584905660377355
82.9,5.858657243816253
83.0,5.858823529411764
83.10000000000001,5.858989424206816
83.2,5.859154929577464
83.3,5.859320046893317
83.39999999999999,5.859484777517563
83.5,5.859649122807017
83.6,5.859813084112149
83.7,5.859976662777129
83.8,5.86013986013986
83.89999999999999,5.8603026775320135
84.0,5.8604651162790695
84.1,5.860627177700349
84.2,5.860788863109049
84.3,5.860950173812282
84.39999999999999,5.861111111111111
84.5,5.861271676300577
84.6,5.861431870669747
84.7,5.86159169550173
84.8,5.861751152073732
84.89999999999999,5.861910241657077
85.0,5.862068965517241
85.1,5.862227324913891
85.2,5.862385321100917
85.3,5.86254295532646
85.39999999999999,5.862700228832951
85.5,5.862857142857143
85.6,5.863013698630136
85.7,5.863169897377423
85.8,5.863325740318906
85.9,5.863481228668942
86.0,5.863636363636364
86.1,5.863791146424517
86.2,5.8639455782312915
86.3,5.86409966024915
86.4,5.864253393665158
86.5,5.864406779661016
86.6,5.864559819413093
86.7,5.864712514092446
86.8,5.864864864864864
86.9,5.865016872890889
87.0,5.865168539325842
87.1,5.865319865319865
87.2,5.865470852017937
87.3,5.86562150055991
87.4,5.865771812080537
87.5,5.865921787709497
87.6,5.866071428571428
87.7,5.866220735785952
87.8,5.866369710467706
87.9,5.866518353726362
88.0,5.866666666666666
88.1,5.866814650388457
88.2,5.866962305986696
88.3,5.867109634551495
88.4,5.867256637168141
88.5,5.867403314917127
88.6,5.8675496688741715
88.7,5.867695700110253
88.8,5.86784140969163
88.9,5.867986798679867
89.0,5.868131868131868
89.1,5.86827661909989
89.2,5.868421052631579
89.3,5.8685651697699885
89.4,5.86870897155361
89.5,5.868852459016393
89.60000000000001,5.868995633187772
89.7,5.8691384950926935
89.8,5.869281045751634
89.9,5.8694232861806315
90.0,5.869565217391304
90.10000000000001,5.8697068403908785
90.2,5.869848156182213
90.3,5.869989165763814
90.4,5.870129870129869
90.5,5.870270270270271
90.60000000000001,5.870410367170626
90.7,5.8705501618122975
90.8,5.870689655172414
90.9,5.870828848223896
91.0,5.870967741935484
91.10000000000001,5.87110633727175
91.2,5.871244635193133
91.3,5.871382636655949
91.4,5.87152034261242
91.5,5.871657754010695
91.60000000000001,5.871794871794871
91.7,5.8719316969050155
91.8,5.8720682302771845
91.9,5.87220447284345
92.0,5.872340425531915
92.10000000000001,5.872476089266738
92.2,5.872611464968153
92.30000000000001,5.872746553552491
92.4,5.872881355932203
92.5,5.873015873015873
92.60000000000001,5.873150105708245
92.7,5.8732840549102425
92.80000000000001,5.8734177215189876
92.9,5.8735511064278185
93.0,5.873684210526315
93.10000000000001,5.8738170347003145
93.2,5.873949579831933
93.30000000000001,5.87408184679958
93.4,5.8742138364779874
93.5,5.87434554973822
93.60000000000001,5.874476987447698
93.7,5.874608150470219
93.80000000000001,5.874739039665971
93.9,5.874869655891554
94.0,5.875
94.10000000000001,5.875130072840791
94.2,5.875259875259875
94.30000000000001,5.875389408099688
94.4,5.87551867219917
94.5,5.875647668393782
94.60000000000001,5.875776397515528
94.7,5.875904860392968
94.80000000000001,5.876033057851239
94.9,5.876160990712075
95.0,5.876288659793814
95.10000000000001,5.876416065911431
95.2,5.8765432098765435
95.30000000000001,5.87667009249743
95.4,5.876796714579055
95.5,5.8769230769230765
95.60000000000001,5.877049180327869
95.7,5.877175025588536
95.80000000000001,5.877300613496932
95.9,5.877425944841675
96.0,5.877551020408163
96.1,5.877675840978593
96.2,5.877800407331975
96.3,5.877924720244151
96.39999999999999,5.878048780487805
96.5,5.878172588832486
96.6,5.878296146044624
96.7,5.878419452887538
96.8,5.878542510121457
96.89999999999999,5.878665318503538
97.0,5.878787878787879
97.1,5.87891019172553
97.2,5.879032258064516
97.3,5.879154078549848
97.39999999999999,5.879275653923542
97.5,5.8793969849246235
97.6,5.879518072289156
97.7,5.879638916750251
97.8,5.8797595190380765
97.89999999999999,5.879879879879879
98.0,5.88
98.1,5.88011988011988
98.2,5.880239520958084
98.3,5.880358923230309
98.4,5.880478087649402
98.5,5.880597014925374
98.6,5.880715705765407
98.7,5.880834160873883
98.8,5.880952380952381
98.9,5.881070366699703
99.0,5.881188118811881
99.1,5.881305637982196
99.2,5.881422924901186
99.3,5.8815399802566635
99.4,5.881656804733727
99.5,5.8817733990147785
99.6,5.881889763779528
99.7,5.882005899705015
99.8,5.8821218074656185
99.9,5.882237487733072
100.0,5.88235294117647
